Exported Countries,Value2,latitude,longitude
Canada,2986.686,56.1304,-106.3468
China,360860.188,35.8617,104.1954
France,1298.38,46.6033,1.8883
Germany,1380.012,51.1657,10.4515
Hong Kong,225023.021,22.3193,114.1694
Indonesia,18937.192,-0.7893,113.9213
Italy,3983.853,41.8719,12.5674
Japan,177432.777,36.2048,138.2529
Malaysia,6220.206,4.2105,101.9758
New Zealand,21885.405,-40.9006,174.886
Singapore,39206.971,1.3521,103.8198
Taiwan,56961.889,23.6978,120.9605
Thailand,38918.556,15.87,100.9925
United States,101323.095,39.8333,-98.5855
Vietnam,70545.233,14.0583,108.2772
