origin,latitude_o,longitude_o,destination,latitude,longitude
Australia,-25.2744,133.7751,Chile,-35.6751,-71.543
Australia,-25.2744,133.7751,China,35.8617,104.1954
Australia,-25.2744,133.7751,Ecuador,-1.8312,-78.1834
Australia,-25.2744,133.7751,French Polynesia,-17.6797,-149.4068
Australia,-25.2744,133.7751,Hong Kong,22.3964,114.1095
Australia,-25.2744,133.7751,Indonesia ,-2.1833,117.1382
Australia,-25.2744,133.7751,Japan ,36.2048,138.2529
Australia,-25.2744,133.7751,New Zealand ,-40.9006,174.886
Australia,-25.2744,133.7751,Norway,60.472,8.4689
Australia,-25.2744,133.7751,Peru,-9.19,-74.3546
Australia,-25.2744,133.7751,Samoa (American),-14.271,-170.1323
Australia,-25.2744,133.7751,Thailand,15.87,100.9925
Australia,-25.2744,133.7751,United States ,37.0902,-95.7129
